questions
"Si la existencia fuera un videojuego, ¿cómo ganaríamos?"
¿Qué pasaría si la curiosidad fuera ilegal?
"Si el amor se compartiría, ¿de qué forma sería?"
¿Cómo sería un mundo en el que no existiera el lenguaje?
"Si la muerte fuera el final de un juego, ¿cuál sería?"
¿Qué libro te representa mejor?
¿Merecería la pena vivir si la realidad fuera una ilusión?
¿Cuáles serían las reivindicaciones de la naturaleza si estuviera en huelga?
¿Cómo sería un paisaje que representara el conocimiento?
"Si la comunicación fuera un arma, ¿cómo se utilizaría?"
"¿Qué aprenderíamos en una escuela llamada ""la calle""?"
"Si la suerte no existe, ¿por qué unos tienen más éxito que otros?"
"Si el destino fuera una meta, ¿qué aspecto tendría?"
¿Qué olor representa mejor la serenidad?
¿Qué produciría tu cerebro si fuera una fábrica?
"Si tu intuición es cierta, ¿significa que tienes razón?"
"¿Qué aprenderías en una escuela, que representara un concepto de política?"
"Si la educación devería ser reservada a una población, ¿cuál sería?"
"Si la alegría fuera un objeto, ¿qué aspecto tendría?"
"¿Cuál sería la fórmula mágica para lanzar el hechizo, que más bien hiciera?"
¿Qué aspecto tendría un dibujo que simbolizara el sufrimiento?
"Si fueras un color, ¿qué aspecto tendría y por qué?"
"Si tu peor pesadilla fuera una obra de arte, ¿qué aspecto tendría?"
¿Dónde crecería la flor que representa nuestros pensamientos?
¿Qué curaría la imaginación si fuera una medicina?
¿Qué aspecto tendría el objeto que encarnaría la filosofía?
¿Podríamos vivir en sociedad si no existiera el poder?
¿Podemos optar por cambiar de género si éste sirve para discriminarnos?
¿Debemos respetar una ley aunque nos parezca inmoral?
"Si el universo fuera un órgano del cuerpo humano, ¿qué aspecto tendría?"
¿Cómo sería el emoji que representa tu vida?
"Si la conciencia fuera una llave, ¿qué habría detrás de la puerta que ella abre?"
"Si no existería el libre albedrío, ¿se me podría hacer responsable de mis elecciones? ¿Por qué?"
"Si la ciencia estuviera reservada a las mujeres, ¿qué diferencia habría?"
"Si la envidia no existiera, ¿qué cambiaría?"
"Si la economía estuviera al servicio de alguien, ¿quién sería?"
¿Cómo sería un espectáculo artístico que representaría el tiempo?
¿Cómo describirías al político que encarnaría el asco?
"Si la ira fuera una canción, ¿cómo sonaría?"
¿De qué trataría el libro que simboliza la diversión?
"Si el respeto estuviera muerto, ¿quién lo mataría?"
"Si el amor fuera una receta, ¿cuáles serían los ingredientes?"
"Si fueras una enfermedad o un virus, ¿cuáles serían tus efectos?"
"Si tu estado de ánimo fuera una forma geométrica, ¿qué aspecto tendría?"
"¿Cómo saber qué cualidades cultivar, si son relativas?"
¿Qué harías con tus días si la justicia se decidiera al azar?
"Si vivir costara dinero a los demás, ¿estaría mal visto salvar vidas?"
¿Qué acción representaría mejor los celos para ti?
"Si tu vida fuera un cuento de hadas, ¿cuál sería la moraleja de la historia?"
"Si la fuerza pudiera resolver todos los problemas, ¿qué hicieras con ella?"
"Si la sociedad fuera una bebida, ¿a qué sabría?"
"Si comprar un perfume perjudicara a los demás, ¿lo comprarías igualmente?"
"¿Qué aspecto tendría un edificio llamado ""aburrimiento""?"
¿Elegirías quedarte ciego si la belleza sólo pudiera verse con los ojos cerrados?
"Si la tristeza fuera un programa de televisión, ¿qué aspecto tendría?"
"Si los humanos se encontraran con una especie más inteligente, ¿deberían dejarse comer por ella?"
¿Qué cita representaría mejor la confianza en tu opinión?
"Si los defectos son relativos, ¿cómo sabes cuáles debes corregir?"
"Si la discapacidad es una fuente de diversidad, ¿debe fomentarse?"
"Si tu sexo fuera un vegetal, ¿cuál sería?"
"Si tu mente fuera un medio de transporte, ¿qué sería?"
"Si el orgullo tuviera una bandera, ¿qué aspecto tendría?"
"Si la bondad fuera un anuncio publicitario, ¿dónde se mostraría?"
"Si fueras un pájaro, ¿qué sería? ¿Dónde harías tu nido?"
"Si la familia se definiera por un criterio, ¿cuál sería?"
"Si las leyes naturales nunca pudieran descubrirse del todo, ¿deberíamos buscarlas?"
"Si la cárcel fuera una escuela, ¿qué aprenderíamos allí?"
