Icon,Français,Frsub,English,Ensub,Español,Essubl,Deutsch,Desub
raisons@2x.png,Donner ses raisons ,Pourquoi ça ? ,Give your reasons ,Why is that? ,Indique los motivos,¿Por qué?,Gib deine Gründe an,Warum ist das so?
definir@2x.png,Définir,Que veut dire ce mot ? ,Define,What does this word mean? ,Defina,¿Qué significa esta palabra?,Definieren Sie,Was bedeutet dieses Wort?
exemple8@2x.png ,Exemple ,Par exemple ? , Example ,For example? ,Ejemplo,¿Por ejemplo?,Beispiel,Zum Beispiel?
source@2x.png,Source ,Où as-tu appris ça ? ,Source ,Where did you learn that? ,Fuente,¿Dónde se aprendió eso?,Quelle,Wo hast du das gelernt?
nuance@2x.png,Nuance ,Est-ce toujours le cas ? ,Nuance ,Is this still the case? ,Nuance,¿Sigue siendo así?,Nuance,Ist das immer noch der Fall?
comparer@2x.png,Comparer ,Quelle est la différence ? ,Compare ,What is the difference? ,Comparar,¿Cuál es la diferencia?,Vergleichen,Was ist der Unterschied?
reformuler@2x.png,Reformuler ,En d’autres termes ? ,Reformulate ,In other words? ,Reformular,¿En otras palabras?,Umformulieren,In anderen Worten?
contexte@2x.png,Contexte,Dans quel contexte est-ce valable ?,Context,In what context is this valid?,Contexto,¿En qué contexto es válido?,Kontext,In welchem Kontext ist das gültig?
presuppose@2x.png,Présupposé,Que sous-entend la question ?,Presupposed,What does the question imply?,Supuesto,¿Qué implica la pregunta?,Vorausgesetzt,Was impliziert die Frage?
collaborer@2x.png,Collaborer,Que puis-je ?,Collaborate,What can I do?,Colaborar,¿Qué puedo hacer?,Zusammenarbeiten,Was kann ich tun?
