Français,English,Español,Deutsch
Quand est-ce que tu ne devrais pas obéir ? Explique.,When should you not obey? Explain.,¿Cuándo no deberías obedecer? Explica.,Wann sollte man nicht gehorchen? Bitte erklären.
Y a-t-il des moments où tu as le droit d'être méchant ? ,Are there times when you have the right to be mean?,¿Hay momentos en los que tienes derecho a ser malo?,"Gibt es Zeiten, in denen man das Recht hat, gemein zu sein?"
À quoi ressemblerait ton école idéale ? Explique.,What would your ideal school look like? Please explain.,¿Cómo sería tu escuela ideal? Explica.,Wie würde deine ideale Schule aussehen? Bitte erklären.
Existe-t-il différentes sortes d'amour? Explique.,Are there different kinds of love? Explain.,¿Hay diferentes tipos de amor? Explica.,Gibt es verschiedene Arten von Liebe? Bitte erklären.
Est-ce que les autres peuvent avoir des droits sur ton corps ? Explique.,Can others have rights over your body? Explain.,¿Pueden otros tener derecho sobre tu cuerpo? Explica.,Können andere Rechte über deinen Körper haben? Bitte erklären.
Est-ce que les enfants devraient pouvoir inventer leurs propres règles ? Pourquoi ?,Should children be able to make up their own rules? Why should they?,¿Deberían los niños poder establecer sus propias reglas? ¿Por qué?,"Sollten Kinder in der Lage sein, ihre eigenen Regeln aufzustellen? Warum sollten sie das können?"
"Si tu pouvais décider d'une nouvelle règle que tout le monde suivrait, ce serait quoi ? Pourquoi ?","If you could decide on a new rule that everyone would follow, what would it be? What would it be?","Si pudieras decidir sobre una nueva norma que todo el mundo siguiera, ¿Cuál sería? ¿Por qué?","Wenn du dich für eine neue Regel entscheiden könnte, an der sich alle halten würden, welche wäre das? Wie würde sie lauten?"
À quoi ressemblerait une ville en harmonie avec la nature ?,What would a city look like in harmony with nature?,¿Cómo sería una ciudad en armonía con la naturaleza?,Wie würde eine Stadt im Einklang mit der Natur aussehen?
"Dans 100 ans, comment pourra-t-on différencier les humains des robots?","In 100 years, how will we be able to tell the difference between humans and robots?","Dentro de 100 años, ¿cómo podremos diferenciar a los humanos de los robots?","Wie werden wir in 100 Jahren in der Lage sein, Menschen von Robotern zu unterscheiden?"
Est-ce que des objets peuvent nous rendre heureux ? Explique.,Can objects make us happy? Explain.,¿Pueden los objetos hacernos felices? Explica.,Können Objekte uns glücklich machen? Erklären Sie das.
Imagine que tu rencontres un humain du futur. Qu'est-ce que tu lui demanderais ? Pourquoi ?,Imagine that you meet a human from the future. What would you ask him/her? Why would you ask him/her?,Imagina que conoces a un humano del futuro. ¿Qué le preguntarías? ¿Por qué?,"Stellen Sie sich vor, Sie treffen einen Menschen aus der Zukunft. Was würdest du ihn/sie fragen? Warum ?"
"Si plus personne ne mourrait, qu'arriverait-il ? Explique.","If nobody would die anymore, what would happen? Explain.","Si ya no muriera nadie, ¿qué pasaría? Explica.","Wenn niemand mehr sterben würde, was würde passieren? Bitte erklären."
Est-ce qu'on parlera tous la même langue un jour ? Pourquoi ? ,Will we all speak the same language one day? Why would we do that?,¿Hablaremos todos el mismo idioma algún día? ¿Por qué?,Werden wir eines Tages alle die gleiche Sprache sprechen? Warum sollten wir das tun?
Pourquoi c'est parfois difficile de s'exprimer ?,Why is it sometimes difficult to express oneself?,¿Por qué a veces es difícil expresarse?,"Warum ist es manchmal schwierig, sich auszudrücken?"
Est-ce que les humains font partie de la nature ? Pourquoi ?,Are humans part of nature? Why are they part of nature?,¿Los seres humanos forman parte de la naturaleza? ¿Por qué forman parte de ella?,Ist der Mensch Teil der Natur? Warum sind sie Teil der Natur?
"Si tout le monde faisait une seule et même chose pour améliorer la société, ce serait quoi ? Explique.","If everyone did one thing to improve society, what would it be? Explain.","Si todo el mundo hiciera una sola y la misma cosa para mejorar la sociedad, ¿cuál sería? Explica.","Wenn jeder eine Sache täte, um die Gesellschaft zu verbessern, was wäre das? Bitte erklären."
Est-ce que veillir est une maladie ? Explique.,Is growing old a disease? Explain.,¿Envejecer es una enfermedad? Explica.,Ist Altwerden eine Krankheit? Bitte erklären.
